sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
1, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
2, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
3, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
4, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
5, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
6, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
7, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
8, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
9, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
10, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
11, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
12, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
13, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
14, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
15, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
16, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
17, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
18, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
19, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
20, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
21, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
22, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
23, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
24, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
25, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
26, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
27, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
28, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
29, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
30, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
31, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
32, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
33, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
34, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
35, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
36, 106317, 0, 106317, 0, 0, 0, 0, 0, 0, 0
