time,susceptible,exposed,vaccinatedD1,vaccinatedD2,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
0,0.8265499495944515,1.345493454678903e-07,0.17345005040554853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001345493454
1,0.6864470126177012,1.345493454678903e-07,0.3135526510089351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997981759818
2,0.5727590722418981,1.345493454678903e-07,0.42724059138473813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997981759817
3,0.4800750247150329,1.345493454678903e-07,0.5199246389116035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997981759818
4,0.40416100578326725,1.345493454678903e-07,0.5958389942167328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001345493454
5,0.3416910229013077,1.345493454678903e-07,0.6583087080000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998654506544
6,0.29004694763036737,1.345493454678903e-07,0.7099530523696326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001345493454
7,0.24715678732491345,1.345493454678903e-07,0.7528429435763956,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
8,0.21137702173005565,1.345493454678903e-07,0.7886226418965807,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999998654506546
9,0.18139962938382792,2.0182401820183546e-07,0.8186001015174812,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
10,0.15617714363176266,2.690986909357806e-07,0.8438225199948737,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
11,0.1348691692620675,3.363733636697258e-07,0.8651304943645689,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0000000672746727
12,0.11679784667227514,3.363733636697258e-07,0.8832015478556703,0.0,6.727467273394515e-08,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.9999997981759818
13,0.10141596367436771,2.690986909357806e-07,0.8985836999522686,0.0,1.345493454678903e-07,0.0,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,1.0000000672746727
14,0.08827574004662808,4.0364803640367093e-07,0.9117235199319719,0.0,1.345493454678903e-07,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.9999997981759818
15,0.07701295071087465,5.381973818715612e-07,0.9221412048288414,0.0008449698895383511,1.345493454678903e-07,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.9999997981759817
16,0.06732970341624152,6.727467273394515e-07,0.9300231054863505,0.0026462492519897327,1.345493454678903e-07,0.0,6.727467273394515e-08,0.0,0.0,0.0,0.9999998654506546
17,0.058979571036504246,8.072960728073419e-07,0.9354347474357417,0.0055846051329902545,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.9999999327253273
18,0.05175898041196991,9.418454182752322e-07,0.9378452662344717,0.010394744233467333,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,1.0000001345493454
19,0.04549893756473085,1.0091200910091773e-06,0.936625643692478,0.017873938699990953,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.999999730901309
20,0.04005850205540944,1.0763947637431225e-06,0.9315291835848453,0.028411170690308782,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,1.0000001345493454
21,0.0353192031853212,1.1436694364770676e-06,0.9209813894709082,0.04369806185031587,2.0182401820183546e-07,6.727467273394515e-08,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,1.0000000672746727
22,0.031182416284238183,1.345493454678903e-06,0.9037306833391245,0.0650850166858007,2.0182401820183546e-07,6.727467273394515e-08,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.999999730901309
23,0.027564586208624814,1.5473174728807386e-06,0.8787991605466337,0.09363416772988681,2.690986909357806e-07,1.345493454678903e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.9999998654506546
24,0.024394199981364915,1.749141491082574e-06,0.8458801158604414,0.12972366591801168,3.363733636697258e-07,1.345493454678903e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,1.0000002018240182
25,0.021611584967743475,1.8164161638165192e-06,0.8025271730812507,0.17585882006278744,4.0364803640367093e-07,1.345493454678903e-07,2.0182401820183546e-07,6.727467273394515e-08,0.0,0.0,0.9999999327253273
26,0.019165679691155433,2.152789527486245e-06,0.7680197733718099,0.21281131775274337,4.709227091376161e-07,1.345493454678903e-07,3.363733636697258e-07,6.727467273394515e-08,0.0,0.0,0.9999995290772908
